customer_id,email,signup_date,age,gender
C_100,a@mail.com,17/10/2023,30,F
C101,a@mail.com,2022/01/22,,
C_100,b@mail.com,21/02/2023,,M
C100,unknown,13/05/2022,30,F
C_100,unknown,18/02/2022,25,
C101,unknown,03/06/2022,,M
C100,b@mail.com,2022-04-14,30,
C100,unknown,2022/11/04,30,
C100,unknown,2023/05/11,30,F
C100,unknown,2023-11-15,,
C100,a@mail.com,2023-02-15,30,M
C101,unknown,31/07/2022,25,
C100,a@mail.com,2022/02/04,30,M
C_100,b@mail.com,2023-07-24,30,
C_100,a@mail.com,22/08/2023,25,F
C101,a@mail.com,2023-05-13,30,F
C101,a@mail.com,2022-06-25,30,F
C101,a@mail.com,2023/03/06,,F
C100,unknown,2023-01-19,25,M
C101,b@mail.com,2022/05/07,25,
C101,a@mail.com,2022-08-25,30,F
C_100,unknown,11/10/2022,,
C101,b@mail.com,2022/03/11,25,M
C_100,a@mail.com,2022/06/18,,M
C101,a@mail.com,2023-02-09,,F
C101,unknown,13/11/2022,25,
C101,unknown,2022/08/07,25,M
C_100,a@mail.com,2023/10/21,30,F
C101,b@mail.com,2023-11-13,,M
C_100,unknown,13/04/2022,25,M
C101,unknown,19/02/2023,25,
C_100,a@mail.com,2022-04-26,30,F
C100,b@mail.com,01/05/2023,30,M
C100,a@mail.com,2022/04/26,,M
C100,unknown,2022/01/10,30,M
C_100,unknown,2023/04/19,30,
C_100,b@mail.com,22/09/2023,,F
C100,unknown,2023-02-22,,F
C_100,b@mail.com,2023-10-19,30,M
C101,unknown,2022/03/27,,M
C_100,a@mail.com,2023-09-10,30,F
C101,a@mail.com,2022-12-25,,M
C_100,unknown,2023-03-17,30,M
C100,unknown,06/07/2023,30,F
C100,b@mail.com,2022-11-10,30,M
C_100,a@mail.com,2022/09/30,,
C100,b@mail.com,2023/04/29,25,M
C101,b@mail.com,2023/10/16,25,M
C100,a@mail.com,2022/07/29,30,
C100,unknown,2022/03/06,25,M
C101,b@mail.com,2023-09-04,,M
C101,b@mail.com,2022/08/04,25,F
C100,b@mail.com,21/02/2022,30,M
C100,a@mail.com,2023-06-11,,M
C100,unknown,2023/02/04,30,F
C_100,b@mail.com,2022-06-29,25,
C100,b@mail.com,2022-02-02,30,F
C100,unknown,2022/06/24,,F
C100,a@mail.com,21/05/2022,25,
C101,a@mail.com,11/10/2022,25,M
C101,a@mail.com,2022/07/13,,F
C100,unknown,16/11/2022,25,
C100,unknown,2022/01/18,30,M
C101,unknown,09/04/2022,30,
C_100,b@mail.com,2022-09-18,,F
C101,b@mail.com,2022-10-08,,F
C100,unknown,2023/03/03,25,M
C_100,b@mail.com,02/11/2022,,F
C100,b@mail.com,13/06/2023,30,M
C_100,b@mail.com,07/09/2023,,
C_100,a@mail.com,2023-05-20,,M
C101,unknown,21/04/2023,25,M
C100,unknown,2022-12-15,30,
C_100,b@mail.com,14/12/2022,30,F
C101,b@mail.com,2023-06-07,25,M
C_100,unknown,2023/03/05,,M
C_100,unknown,2022/06/03,30,
C100,b@mail.com,2023/07/25,30,M
C101,b@mail.com,2023-03-05,30,M
C_100,a@mail.com,2022-11-29,30,M
C101,a@mail.com,2023-01-12,25,M
C101,a@mail.com,2022/05/03,30,
C101,b@mail.com,2022-08-08,,
C100,b@mail.com,28/03/2022,25,
C101,a@mail.com,2023-07-01,25,
C100,a@mail.com,2023/03/08,25,M
C100,b@mail.com,11/11/2023,,M
C101,b@mail.com,2022-08-08,30,F
C100,unknown,26/04/2022,,M
C100,a@mail.com,08/11/2023,,
C100,unknown,10/02/2023,,F
C101,b@mail.com,2022/10/11,30,
C_100,b@mail.com,2023-07-09,,
C_100,unknown,15/05/2023,,
C101,b@mail.com,2023-03-21,,M
C_100,unknown,2022-01-01,,F
C_100,b@mail.com,2022-07-12,25,
C101,b@mail.com,10/03/2023,25,F
C_100,unknown,2022-10-31,,M
C101,b@mail.com,19/07/2023,30,
C100,unknown,2022-08-17,30,M
C_100,unknown,2022/03/11,25,F
C101,a@mail.com,28/06/2023,30,
C101,b@mail.com,13/09/2022,,
C101,b@mail.com,11/11/2023,30,M
C_100,unknown,03/05/2023,,M
C101,b@mail.com,15/05/2023,25,M
C_100,a@mail.com,2022/05/17,25,F
C100,a@mail.com,2022/03/03,30,
C100,b@mail.com,24/04/2022,25,M
C100,b@mail.com,2022-11-02,25,
C_100,unknown,2023/10/09,25,F
C100,unknown,30/08/2023,,
C_100,a@mail.com,2022/03/08,30,F
C100,b@mail.com,2023-03-28,30,F
C_100,a@mail.com,2022/07/05,25,M
C101,b@mail.com,2023-02-17,30,F
C101,b@mail.com,2022-10-14,25,M
C_100,a@mail.com,2022-11-07,30,
C100,unknown,2023/03/13,,F
C_100,a@mail.com,2022/10/01,25,F
C100,b@mail.com,2022/09/17,,M
C_100,a@mail.com,2023/11/03,30,F
C100,a@mail.com,2022-05-14,30,
C101,a@mail.com,2022-12-06,,
C100,a@mail.com,17/08/2022,30,F
C100,unknown,2023-03-24,,F
C101,b@mail.com,2023-10-18,30,F
C_100,b@mail.com,2022-10-25,,
C101,unknown,2023/09/07,30,
C_100,b@mail.com,15/02/2022,25,
C101,a@mail.com,2023-10-21,30,
C100,a@mail.com,2022/05/28,,
C101,a@mail.com,2023/07/22,25,
C100,b@mail.com,15/02/2022,,F
C_100,b@mail.com,22/12/2022,30,
C101,a@mail.com,2022/04/29,,
C101,a@mail.com,21/04/2022,25,F
C101,unknown,2023-08-26,,M
C_100,a@mail.com,29/06/2022,,M
C101,a@mail.com,13/06/2023,,F
C_100,unknown,06/01/2022,,M
C101,b@mail.com,2022-12-14,25,M
C101,a@mail.com,2023-01-06,,
C101,a@mail.com,2022/06/02,,
C100,b@mail.com,2022/01/23,25,F
C_100,unknown,2022-11-10,,F
C101,unknown,2023-05-02,,F
C101,a@mail.com,2022/01/15,,M
C100,unknown,2023/01/17,,
C100,b@mail.com,2022/08/12,25,M
C101,b@mail.com,2022/11/02,25,
C_100,a@mail.com,2023/07/12,30,F
C100,b@mail.com,18/06/2023,25,M
C_100,a@mail.com,21/05/2023,,F
C_100,b@mail.com,2023-08-23,30,
C101,unknown,2022-06-26,25,M
C101,unknown,05/05/2022,,M
C101,a@mail.com,2022/06/10,30,M
C100,unknown,2023/08/16,30,F
C100,b@mail.com,2023-06-11,,M
C100,a@mail.com,2022-10-11,,M
C_100,b@mail.com,08/07/2023,25,
C100,a@mail.com,2022-12-01,30,M
C101,unknown,2023-02-21,30,
C101,a@mail.com,2023-02-04,30,F
C100,unknown,14/03/2022,30,M
C100,b@mail.com,2023-05-22,25,M
C100,b@mail.com,2023-05-02,25,F
C100,a@mail.com,2023/02/25,30,
C101,a@mail.com,2023/09/13,25,M
C101,b@mail.com,29/12/2022,,
C101,unknown,2022/11/09,,
C100,unknown,06/05/2022,30,M
C100,a@mail.com,12/03/2022,30,F
C100,b@mail.com,2022-08-01,,
C_100,a@mail.com,2023/06/11,,F
C_100,b@mail.com,2023/02/05,,
C100,b@mail.com,21/03/2022,30,M
C100,unknown,2023/03/16,30,F
C_100,b@mail.com,19/09/2023,30,F
C100,a@mail.com,2022-01-18,30,M
C100,a@mail.com,2023-04-14,25,
C_100,unknown,18/04/2022,25,
C_100,unknown,2022-02-14,30,M
C100,b@mail.com,27/06/2023,30,
C101,a@mail.com,15/02/2023,,F
C100,unknown,2023-09-08,,M
C_100,a@mail.com,2022-05-07,25,F
C_100,b@mail.com,2022-07-09,30,
C_100,b@mail.com,2022-09-09,25,
C100,unknown,2023/08/26,25,F
C101,a@mail.com,2023-06-16,30,M
C100,b@mail.com,2022/04/25,30,F
C100,b@mail.com,2022/09/29,30,F
C_100,a@mail.com,2023-09-24,,M
C100,a@mail.com,2023/06/21,30,
C101,b@mail.com,2022-09-19,25,F
C101,a@mail.com,2022/10/18,30,M
C100,b@mail.com,2023-09-06,25,M
C100,b@mail.com,2023-02-26,25,
C100,a@mail.com,07/08/2022,,
C100,b@mail.com,2023-09-29,30,
C101,unknown,2022/10/21,25,
C101,unknown,2022/04/26,30,F
C_100,b@mail.com,2023/02/21,,
C100,unknown,09/03/2022,25,M
C_100,b@mail.com,2022/12/18,30,F
C101,b@mail.com,04/08/2023,30,F
C101,unknown,2022/02/22,30,
C101,a@mail.com,2022-03-16,25,
C100,b@mail.com,24/02/2023,25,
C101,a@mail.com,2022/10/13,,
C100,unknown,2023-10-23,25,F
C101,b@mail.com,2022-11-01,30,M
C101,b@mail.com,2022-03-07,,M
C_100,unknown,02/09/2023,30,
C_100,b@mail.com,2023-10-07,25,
C_100,unknown,2022/09/08,25,
C100,a@mail.com,09/05/2022,30,M
C101,b@mail.com,20/04/2023,25,M
C_100,unknown,2022/05/30,25,F
C_100,b@mail.com,2023-08-07,30,M
C_100,a@mail.com,2023-01-27,30,M
C_100,b@mail.com,2023/02/05,25,F
C101,unknown,2022/11/04,30,F
C101,a@mail.com,2023-03-03,25,
C_100,b@mail.com,2023-02-07,30,
C_100,a@mail.com,25/01/2023,30,M
C_100,b@mail.com,2023/08/27,25,F
C101,unknown,2022-07-23,25,F
C_100,a@mail.com,2023-03-21,25,M
C101,unknown,09/03/2023,30,F
C101,unknown,22/05/2023,30,
C101,b@mail.com,2023-05-04,,M
C101,unknown,2022/04/27,30,F
C100,b@mail.com,2022-10-05,30,
C101,unknown,27/10/2023,,F
C101,a@mail.com,2023-04-05,,M
C101,b@mail.com,02/01/2023,,M
C101,b@mail.com,2022-07-29,30,M
C101,a@mail.com,10/10/2022,,F
C_100,a@mail.com,01/06/2023,,M
C100,a@mail.com,2023-10-17,25,M
C100,unknown,2023/09/10,25,F
C101,unknown,07/02/2022,,M
C_100,a@mail.com,2022/02/21,,M
C_100,b@mail.com,2023/07/28,25,
C100,b@mail.com,2023-07-08,30,F
C100,a@mail.com,2022/10/23,25,
C_100,b@mail.com,2023/09/01,25,
C_100,unknown,2022/09/17,30,M
C_100,b@mail.com,2023/02/21,30,
C_100,unknown,2023/10/08,,
C_100,a@mail.com,2023/03/21,,F
C101,unknown,2022/04/05,25,
C100,a@mail.com,2023/07/25,25,M
C_100,a@mail.com,08/02/2022,30,M
C100,a@mail.com,04/03/2022,30,
C100,unknown,2022-05-21,25,
C_100,b@mail.com,2022/05/28,25,M
C101,unknown,01/05/2022,25,
C101,a@mail.com,2023/03/31,,F
C101,unknown,2022/05/26,30,F
C100,a@mail.com,2022-05-01,25,F
C101,a@mail.com,2022-01-06,30,F
C101,unknown,2022/11/25,25,
C101,unknown,24/03/2022,,M
C100,unknown,12/07/2022,30,M
C101,a@mail.com,20/08/2023,30,M
C100,a@mail.com,2022/11/29,,M
C101,unknown,06/03/2023,,
C_100,unknown,19/07/2023,30,F
C101,unknown,2023/11/08,30,F
C_100,unknown,2022/06/21,30,F
C101,b@mail.com,19/05/2022,30,
C100,b@mail.com,27/04/2022,25,M
C101,a@mail.com,26/08/2022,30,M
C_100,unknown,10/04/2022,30,M
C_100,unknown,06/08/2023,,F
C100,unknown,2022/09/21,30,
C_100,unknown,2022-03-11,25,M
C101,b@mail.com,2022/12/28,30,F
C100,unknown,2023-11-28,25,
C_100,b@mail.com,2023-07-11,25,F
C100,a@mail.com,2022/08/29,,F
C100,a@mail.com,21/02/2022,25,F
C101,unknown,2022-10-08,,F
C100,b@mail.com,22/08/2023,30,F
C100,a@mail.com,2022-09-30,30,
C101,a@mail.com,2022/03/18,30,F
C_100,b@mail.com,09/09/2023,,F
C101,b@mail.com,2023-04-29,,M
C_100,b@mail.com,24/08/2023,30,
C101,a@mail.com,17/02/2023,,M
C101,b@mail.com,2022/04/09,30,F
C100,b@mail.com,2023-10-06,,M
C_100,b@mail.com,2023-09-16,30,M
C101,a@mail.com,2022-10-09,25,F
C100,unknown,05/01/2023,25,
C_100,b@mail.com,20/05/2023,,F
C100,unknown,2022/10/25,30,
C101,a@mail.com,2023-07-03,30,F
C101,a@mail.com,2023-02-11,30,F
C_100,b@mail.com,2022-02-22,30,M
C100,a@mail.com,2023/08/18,,
C101,a@mail.com,2022-03-08,30,
C101,b@mail.com,2022-12-11,,F
C_100,a@mail.com,20/10/2023,25,M
C101,b@mail.com,17/02/2022,25,M
C101,b@mail.com,2022-10-13,,
C101,a@mail.com,2023/01/04,25,F
C101,a@mail.com,2023-02-10,30,
C_100,unknown,2022-12-22,,F
C101,unknown,2023/03/31,30,F
C_100,unknown,2022/07/19,,
C100,a@mail.com,13/05/2023,30,M
C100,a@mail.com,28/06/2023,,F
C101,a@mail.com,25/10/2022,,M
C_100,b@mail.com,2022/11/18,30,F
C101,a@mail.com,26/02/2023,,F
C101,b@mail.com,2023-05-20,,M
C100,unknown,03/09/2022,25,F
C_100,a@mail.com,19/07/2023,25,M
C_100,a@mail.com,2023/05/31,25,M
C_100,unknown,27/05/2023,25,M
C100,a@mail.com,22/10/2023,25,F
C_100,a@mail.com,2022/02/15,25,F
C_100,b@mail.com,15/08/2022,30,
C101,a@mail.com,23/08/2022,25,
C100,a@mail.com,2023-02-19,30,
C100,a@mail.com,2023-08-31,30,M
C101,a@mail.com,2023/07/25,,F
C_100,unknown,2022/05/02,,F
C_100,unknown,2023-06-22,,F
C101,unknown,2022-09-11,30,F
C101,unknown,2022-11-28,30,
C_100,a@mail.com,2022-12-06,,
C_100,unknown,2022/04/06,25,M
C101,a@mail.com,06/05/2023,,F
C100,b@mail.com,15/08/2022,30,F
C100,unknown,2022/08/08,,
C_100,unknown,03/05/2023,30,F
C101,b@mail.com,18/09/2023,30,
C100,a@mail.com,2023-07-28,,M
C101,b@mail.com,2022-04-14,,
C_100,b@mail.com,2023/04/24,30,
C_100,unknown,2023-05-31,25,F
